outcome,score,model,elpd_loo,elpd_loo_se,p_loo,looic,delta_looic,rank,outcome_label,score_label,model_label,best_looic,best_elpd,supported
n_chars,score_svm_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (characters),SVM score,Date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (characters),SVM score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (characters),SVM score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (characters),SVM score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (characters),SVM score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (characters),SVM score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_chars,score_svm_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (characters),SVM score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (characters),XGBoost score,Intercept only,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (characters),XGBoost score,Score only,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (characters),XGBoost score,Date + text type,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (characters),XGBoost score,Date + text type + score,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (characters),XGBoost score,Smooth date + text type,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (characters),XGBoost score,Smooth date + text type + score,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (characters),XGBoost score,Prediction source + date + text type,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (characters),XGBoost score,Prediction source + date + text type + score,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (characters),XGBoost score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (characters),XGBoost score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (characters),XGBoost score,Date + text type + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (characters),XGBoost score,Date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (characters),XGBoost score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (characters),XGBoost score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (characters),XGBoost score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (characters),XGBoost score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (characters),XGBoost score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_chars,score_xgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (characters),XGBoost score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (words),LightGBM score,Intercept only,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (words),LightGBM score,Score only,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (words),LightGBM score,Date + text type,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (words),LightGBM score,Date + text type + score,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (words),LightGBM score,Smooth date + text type,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (words),LightGBM score,Smooth date + text type + score,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (words),LightGBM score,Prediction source + date + text type,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (words),LightGBM score,Prediction source + date + text type + score,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (words),LightGBM score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (words),LightGBM score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (words),LightGBM score,Date + text type + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (words),LightGBM score,Date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (words),LightGBM score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (words),LightGBM score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (words),LightGBM score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (words),LightGBM score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (words),LightGBM score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_lgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (words),LightGBM score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (words),Naive Bayes score,Intercept only,Inf,-Inf,NA
n_words,score_nb_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (words),Naive Bayes score,Score only,Inf,-Inf,NA
n_words,score_nb_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (words),Naive Bayes score,Date + text type,Inf,-Inf,NA
n_words,score_nb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (words),Naive Bayes score,Date + text type + score,Inf,-Inf,NA
n_words,score_nb_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (words),Naive Bayes score,Smooth date + text type,Inf,-Inf,NA
n_words,score_nb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (words),Naive Bayes score,Smooth date + text type + score,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (words),Naive Bayes score,Prediction source + date + text type,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (words),Naive Bayes score,Prediction source + date + text type + score,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (words),Naive Bayes score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (words),Naive Bayes score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_words,score_nb_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (words),Naive Bayes score,Date + text type + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (words),Naive Bayes score,Date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (words),Naive Bayes score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (words),Naive Bayes score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (words),Naive Bayes score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (words),Naive Bayes score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (words),Naive Bayes score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_nb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (words),Naive Bayes score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (words),Ridge score,Intercept only,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (words),Ridge score,Score only,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (words),Ridge score,Date + text type,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (words),Ridge score,Date + text type + score,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (words),Ridge score,Smooth date + text type,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (words),Ridge score,Smooth date + text type + score,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (words),Ridge score,Prediction source + date + text type,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (words),Ridge score,Prediction source + date + text type + score,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (words),Ridge score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (words),Ridge score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (words),Ridge score,Date + text type + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (words),Ridge score,Date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (words),Ridge score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (words),Ridge score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (words),Ridge score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (words),Ridge score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (words),Ridge score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_ridge_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (words),Ridge score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (words),SVM score,Intercept only,Inf,-Inf,NA
n_words,score_svm_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (words),SVM score,Score only,Inf,-Inf,NA
n_words,score_svm_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (words),SVM score,Date + text type,Inf,-Inf,NA
n_words,score_svm_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (words),SVM score,Date + text type + score,Inf,-Inf,NA
n_words,score_svm_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (words),SVM score,Smooth date + text type,Inf,-Inf,NA
n_words,score_svm_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (words),SVM score,Smooth date + text type + score,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (words),SVM score,Prediction source + date + text type,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (words),SVM score,Prediction source + date + text type + score,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (words),SVM score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (words),SVM score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_words,score_svm_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (words),SVM score,Date + text type + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (words),SVM score,Date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,creator_sdate_type,NA,NA,NA,NA,NA,13,Document length (words),SVM score,Smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,14,Document length (words),SVM score,Smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_creator_date_type,NA,NA,NA,NA,NA,15,Document length (words),SVM score,Prediction source + date + text type + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,16,Document length (words),SVM score,Prediction source + date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_creator_sdate_type,NA,NA,NA,NA,NA,17,Document length (words),SVM score,Prediction source + smooth date + text type + creator RE,Inf,-Inf,NA
n_words,score_svm_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,18,Document length (words),SVM score,Prediction source + smooth date + text type + score + creator RE,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,intercept,NA,NA,NA,NA,NA,1,Document length (words),XGBoost score,Intercept only,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,score,NA,NA,NA,NA,NA,2,Document length (words),XGBoost score,Score only,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,date_type,NA,NA,NA,NA,NA,3,Document length (words),XGBoost score,Date + text type,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,4,Document length (words),XGBoost score,Date + text type + score,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,sdate_type,NA,NA,NA,NA,NA,5,Document length (words),XGBoost score,Smooth date + text type,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,6,Document length (words),XGBoost score,Smooth date + text type + score,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,source_date_type,NA,NA,NA,NA,NA,7,Document length (words),XGBoost score,Prediction source + date + text type,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,8,Document length (words),XGBoost score,Prediction source + date + text type + score,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,source_sdate_type,NA,NA,NA,NA,NA,9,Document length (words),XGBoost score,Prediction source + smooth date + text type,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,10,Document length (words),XGBoost score,Prediction source + smooth date + text type + score,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,creator_date_type,NA,NA,NA,NA,NA,11,Document length (words),XGBoost score,Date + text type + creator RE,Inf,-Inf,NA
n_words,score_xgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,12,Document length (words),XGBoost score,Date + text type + score + creator RE,Inf,-Inf,NA
