outcome,score,model,estimate,est_error,l95,u95,prob_positive,outcome_label,score_label,model_label,includes_score,effect_direction,credibly_nonzero
n_words,score_ridge_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_ridge_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),Ridge score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,score,NA,NA,NA,NA,NA,Document length (words),SVM score,Score only,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Date + text type + score,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Smooth date + text type + score,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_svm_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),SVM score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Score only,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,date_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Date + text type + score,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,sdate_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Smooth date + text type + score,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,source_date_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Prediction source + date + text type + score,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,source_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Prediction source + smooth date + text type + score,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Smooth date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,source_creator_date_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Prediction source + date + text type + score + creator RE,TRUE,NA,FALSE
n_words,score_xgb_logit_aligned,source_creator_sdate_type_score,NA,NA,NA,NA,NA,Document length (words),XGBoost score,Prediction source + smooth date + text type + score + creator RE,TRUE,NA,FALSE
